feature,coef,abs_coef
tenure_months,0.7137722728595532,0.7137722728595532
is_subscribed,0.5303685903499842,0.5303685903499842
usage_events,-0.36603870555663254,0.36603870555663254
usage_count,0.3284559991585761,0.3284559991585761
resolution_time_hours,-0.19488896087552404,0.19488896087552404
first_response_time_minutes,0.17379336636811907,0.17379336636811907
escalation_flag,-0.12319631328308642,0.12319631328308642
usage_duration_secs,-0.10709047448439253,0.10709047448439253
error_count,0.06882717724804904,0.06882717724804904
is_beta_feature,-0.04463576033692286,0.04463576033692286
satisfaction_score,-0.02657014852294199,0.02657014852294199
ticket_count,-0.007545571176145493,0.007545571176145493
