feature,coef,abs_coef
usage_events,0.33875673942015444,0.33875673942015444
tenure_months,0.29372380681091437,0.29372380681091437
is_beta_feature,-0.2081433653352807,0.2081433653352807
usage_count,-0.18486705831588976,0.18486705831588976
first_response_time_minutes,-0.12426793024108007,0.12426793024108007
error_count,-0.12382242654095739,0.12382242654095739
satisfaction_score,0.11527921729019262,0.11527921729019262
usage_duration_secs,-0.07898651445293871,0.07898651445293871
resolution_time_hours,0.056582614631684694,0.056582614631684694
price,0.04461975940055705,0.04461975940055705
log_price,0.043269738252966344,0.043269738252966344
ticket_count,-0.03473228360925013,0.03473228360925013
escalation_flag,0.009569115802710507,0.009569115802710507
is_subscribed,0.0,0.0
