feature,coef,abs_coef
usage_events,0.3391335474311182,0.3391335474311182
tenure_months,0.3285355404842659,0.3285355404842659
is_beta_feature,-0.20803527207650596,0.20803527207650596
usage_count,-0.18291157631689695,0.18291157631689695
first_response_time_minutes,-0.12502996421365065,0.12502996421365065
error_count,-0.12382349266338871,0.12382349266338871
satisfaction_score,0.11372666579772539,0.11372666579772539
resolution_time_hours,0.05621303113101419,0.05621303113101419
ticket_count,-0.037860859289841585,0.037860859289841585
escalation_flag,0.009853670108077184,0.009853670108077184
usage_duration_secs,-0.0012092331791542566,0.0012092331791542566
is_subscribed,0.0,0.0
